priority,gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,missing_metabolites_count,missing_metabolites,equation
P3,YALI1A09121g,6.1.1.3,MNXR146548,,,2,MNXM741236|MNXM90883,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741236@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90883@MNXD1
P3,YALI1A09121g,6.1.1.3,MNXR146547,,,2,MNXM741235|MNXM90883,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741235@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90883@MNXD1
P3,YALI1A09121g,6.1.1.3,MNXR200415,,,2,MNXM1563107|MNXM90883,1 MNXM11@MNXD1 + 1 MNXM1563107@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM737787@MNXD1 + 1 MNXM90883@MNXD1
P3,YALI1A09121g,6.1.1.3,MNXR185647,,,1,MNXM90883,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90883@MNXD1
P3,YALI1A09121g,6.1.1.3,MNXR123912,,,2,MNXM167417|MNXM90883,1 MNXM11@MNXD1 + 1 MNXM167417@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90883@MNXD1
P3,YALI1A09121g,6.1.1.3,MNXR166363,,,2,MNXM1091280|MNXM741234,1 MNXM1091280@MNXD1 + 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741234@MNXD1
P3,YALI1A09553g,2.4.2.60,MNXR139808,,R10685,4,MNXM1089633|MNXM722955|MNXM73306|MNXM8,1 MNXM1089633@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM216@MNXD1 + 1 MNXM722955@MNXD1 + 3 WATER@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM73306@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A09553g,2.4.2.60,MNXR144159,,,4,MNXM722955|MNXM727952|MNXM73306|MNXM8,1 MNXM216@MNXD1 + 1 MNXM722955@MNXD1 + 1 MNXM727952@MNXD1 + 3 WATER@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM73306@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A09553g,2.4.2.60,MNXR170560,,,4,MNXM1090851|MNXM1090852|MNXM722955|MNXM8,1 MNXM1090851@MNXD1 + 1 MNXM29@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1090852@MNXD1 + 1 MNXM216@MNXD1 + 1 MNXM722955@MNXD1 + 3 WATER@MNXD1
P3,YALI1A09553g,2.4.2.60,MNXR187673,,,4,MNXM680837|MNXM722955|MNXM727952|MNXM8,2 MNXM1@MNXD1 + 1 MNXM216@MNXD1 + 1 MNXM722955@MNXD1 + 1 MNXM727952@MNXD1 + 3 WATER@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM680837@MNXD1 + 1 MNXM8@MNXD1
