met_id,raw_name,formula,charge,compartment,clean_name,embedded_formula,is_dirty,base_id
m458_c,D-fructose_C6H12O6,,0,c,D-fructose,C6H12O6,False,m458
m459_c,dCMP_C9H14N3O7P,,0,c,dCMP,C9H14N3O7P,False,m459
m460_c,dUMP_C9H13N2O8P,,0,c,dUMP,C9H13N2O8P,False,m460
m461_c,dCTP_C9H16N3O13P3,,0,c,dCTP,C9H16N3O13P3,False,m461
m462_c,dUTP_C9H15N2O14P3,,0,c,dUTP,C9H15N2O14P3,False,m462
m463_c,deoxycytidine_C9H13N3O4,,0,c,deoxycytidine,C9H13N3O4,False,m463
m464_c,2'-deoxyuridine_,,0,c,2'-deoxyuridine,,False,m464
m465_c,dGMP_C10H14N5O7P,,0,c,dGMP,C10H14N5O7P,False,m465
m466_c,dGDP_C10H15N5O10P2,,0,c,dGDP,C10H15N5O10P2,False,m466
m467_c,spermidine_C7H19N3,,0,c,spermidine,C7H19N3,False,m467
m468_m,ubiquinone-6_C39H58O4,,0,m,ubiquinone-6,C39H58O4,False,m468
m469_c,4-aminobutanal_C4H9NO,,0,c,4-aminobutanal,C4H9NO,False,m469
m470_c,trimethylenediamine_C3H10N2,,0,c,trimethylenediamine,C3H10N2,False,m470
m471_m,ubiquinol-6_C39H60O4,,0,m,ubiquinol-6,C39H60O4,False,m471
m472_c,2-deoxy-D-ribose_ActiveX VT_ERROR:,,0,c,2-deoxy-D-ribose,,True,m472
m473_c,2-deoxy-D-ribose 5-phosphate_C5H11O7P,,0,c,2-deoxy-D-ribose 5-phosphate,C5H11O7P,False,m473
m474_c,2-deoxy-D-ribofuranose 1-phosphate_,,0,c,2-deoxy-D-ribofuranose 1-phosphate,,False,m474
m475_m,3'-dephospho-CoA_C21H33N7O13P2S,,0,m,3'-dephospho-CoA,C21H33N7O13P2S,False,m475
m476_r,lignoceric acid_C24H48O2,,0,r,lignoceric acid,C24H48O2,False,m476
m477_r,cerotic acid_C26H52O2,,0,r,cerotic acid,C26H52O2,False,m477
m478_c,dihydrofolic acid_C19H19N7O6,,0,c,dihydrofolic acid,C19H19N7O6,False,m478
m479_c,THF_C19H23N7O6,,0,c,THF,C19H23N7O6,False,m479
m480_m,dihydrofolic acid_C19H19N7O6,,0,m,dihydrofolic acid,C19H19N7O6,False,m480
m481_c,"7,8-dihydropteroate_ActiveX VT_ERROR:",,0,c,"7,8-dihydropteroate",,True,m481
m482_m,"7,8-dihydroneopterin_C9H13N5O4",,0,m,"7,8-dihydroneopterin",C9H13N5O4,False,m482
m483_m,glycolaldehyde_C2H4O2,,0,m,glycolaldehyde,C2H4O2,False,m483
m484_c,"7,8-dihydroneopterin 3'-phosphate_C9H14N5O7P",,0,c,"7,8-dihydroneopterin 3'-phosphate",C9H14N5O7P,False,m484
m485_c,(S)-dihydroorotate_C5H6N2O4,,0,c,(S)-dihydroorotate,C5H6N2O4,False,m485
m486_m,4-aminobenzoate_C7H7NO2,,0,m,4-aminobenzoate,C7H7NO2,False,m486
m487_m,"7,8-dihydropteroate_ActiveX VT_ERROR:",,0,m,"7,8-dihydropteroate",,True,m487
m488_m,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate_C6H12O4",,0,m,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate",C6H12O4,False,m488
m489_m,(S)-3-methyl-2-oxopentanoate_C6H9O3,,0,m,(S)-3-methyl-2-oxopentanoate,C6H9O3,False,m489
m490_c,glycerone_C3H6O3,,0,c,glycerone,C3H6O3,False,m490
m491_c,isopentenyl diphosphate_C5H12O7P2,,0,c,isopentenyl diphosphate,C5H12O7P2,False,m491
m492_c,prenyl diphosphate_C5H9O7P2,,0,c,prenyl diphosphate,C5H9O7P2,False,m492
m493_c,geranyl diphosphate_C10H20O7P2,,0,c,geranyl diphosphate,C10H20O7P2,False,m493
m494_c,"1,3-bisphospho-D-glycerate_C3H4O10P2",,0,c,"1,3-bisphospho-D-glycerate",C3H4O10P2,False,m494
m495_c,"2,3-bisphospho-D-glyceric acid_C3H3O10P2",,0,c,"2,3-bisphospho-D-glyceric acid",C3H3O10P2,False,m495
m496_c,"myo-inositol 1,3,4,5,6-pentakisphosphate_ActiveX VT_ERROR:",,0,c,"myo-inositol 1,3,4,5,6-pentakisphosphate",,True,m496
m497_c,2-(3-amino-3-carboxypropyl)-L-histidine_C10H16N4O4,,0,c,2-(3-amino-3-carboxypropyl)-L-histidine,C10H16N4O4,False,m497
m498_c,2-[3-carboxy-3-(methylammonio)propyl]-L-histidine_C11H18N4O4,,0,c,2-[3-carboxy-3-(methylammonio)propyl]-L-histidine,C11H18N4O4,False,m498
m499_c,dolichol_C15H28O,,0,c,dolichol,C15H28O,False,m499
m500_c,CDP_C9H15N3O11P2,,0,c,CDP,C9H15N3O11P2,False,m500
m501_c,dolichyl phosphate_C20H37O4P(C5H8)n,,0,c,dolichyl phosphate_C20H37O4P(C5H8)n,,False,m501
m502_r,dolichyl D-mannosyl phosphate_C26H47O9P(C5H8)n,,0,r,dolichyl D-mannosyl phosphate_C26H47O9P(C5H8)n,,False,m502
m503_r,dolichyl phosphate_C20H37O4P(C5H8)n,,0,r,dolichyl phosphate_C20H37O4P(C5H8)n,,False,m503
m504_r,mannan_,,0,r,mannan,,False,m504
m505_c,dTMP_C10H15N2O8P,,0,c,dTMP,C10H15N2O8P,False,m505
m506_c,dTDP_C10H16N2O11P2,,0,c,dTDP,C10H16N2O11P2,False,m506
m507_c,2-phospho-D-glyceric acid_C3H4O7P,,0,c,2-phospho-D-glyceric acid,C3H4O7P,False,m507
m508_c,ethanolamine_C2H7NO,,0,c,ethanolamine,C2H7NO,False,m508
m509_c,O-phosphoethanolamine_C2H7NO4P,,0,c,O-phosphoethanolamine,C2H7NO4P,False,m509
m510_e,(1-3)-beta-D-glucan_,,0,e,(1-3)-beta-D-glucan,,False,m510
m511_e,D-glucose_C6H12O6,,0,e,D-glucose,C6H12O6,False,m511
m512_c,farnesyl diphosphate_C15H25O7P2,,0,c,farnesyl diphosphate,C15H25O7P2,False,m512
m513_c,geranylgeranyl diphosphate_C20H36O7P2,,0,c,geranylgeranyl diphosphate,C20H36O7P2,False,m513
m514_x,octadec-9-ynoyl-CoA_,,0,x,octadec-9-ynoyl-CoA,,False,m514
m515_x,ATP_C10H16N5O13P3,,0,x,ATP,C10H16N5O13P3,False,m515
m516_x,decanoate_C10H20O2,,0,x,decanoate,C10H20O2,False,m516
m517_x,AMP_C10H14N5O7P,,0,x,AMP,C10H14N5O7P,False,m517
m518_x,diphosphate_H4O7P2,,0,x,diphosphate,H4O7P2,False,m518
m519_x,laurate_C12H24O2,,0,x,laurate,C12H24O2,False,m519
m520_x,palmitate_C16H32O2,,0,x,palmitate,C16H32O2,False,m520
m521_x,octanoate_C8H16O2,,0,x,octanoate,C8H16O2,False,m521
m522_x,myristate_C14H28O2,,0,x,myristate,C14H28O2,False,m522
m523_m,iron_Fe,,0,m,iron,Fe,False,m523
m524_m,protoporphyrin_C34H34N4O4,,0,m,protoporphyrin,C34H34N4O4,False,m524
m525_m,ferroheme b_C34H30FeN4O4,,0,m,ferroheme b,C34H30FeN4O4,False,m525
m526_m,hydrogen peroxide_H2O2,,0,m,hydrogen peroxide,H2O2,False,m526
m527_c,FMN_C17H21N4O9P,,0,c,FMN,C17H21N4O9P,False,m527
m528_c,FAD_C27H33N9O15P2,,0,c,FAD,C27H33N9O15P2,False,m528
m529_c,formaldehyde_CH2O,,0,c,formaldehyde,CH2O,False,m529
m530_c,glutathione_C10H17N3O6S,,0,c,glutathione,C10H17N3O6S,False,m530
