base_id,name,bigg_id,kegg_id,formula,charge,confidence
m119,Nicotinamide adenine dinucleotide - reduced,nadh,,C21H27N7O14P2,0.0,database
m120,2 Amino 3 carboxymuconate semialdehyde C7H6NO5,cmusa,,C7H6NO5,-1.0,database
m121,2-Isopropylmaleate,2ippm,,C7H8O4,-2.0,database
m122,Nicotinamide adenine dinucleotide,nad,,C21H26N7O14P2,0.0,database
m123,Nicotinamide adenine dinucleotide - reduced,nadh,,C21H27N7O14P2,0.0,database
m124,"5,10-Methylenetetrahydrofolate",mlthf,,C20H21N7O6,-2.0,database
m125,2-Dehydropantoate,2dhp,,C6H9O4,-1.0,database
m126,"5,6,7,8-Tetrahydrofolate",thf,,C19H21N7O6,-2.0,database
m127,Phosphatidic acid,ptdoh_MRSA,,C53H102N2O16PR0S0,0.0,database
m128,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,3psme,,C10H9O10P,-4.0,database
m129,Chorismate,chor,,C10H8O6,-2.0,database
m130,L-Glutamine,gln__L,,C5H10N2O3,0.0,database
m131,4-amino-4-deoxychorismate,4adcho,,C10H10NO5,-1.0,database
m132,4-Aminobenzoate,4abz,,C7H6NO2,-1.0,database
m133,Gama-L-glutamyl-L-alpha-aminobutyrate,CE1661,,C9H15N2O5,-1.0,database
m134,Succinic semialdehyde,sucsal,,C4H5O3,-1.0,database
m135,O-Phospho-4-hydroxy-L-threonine,phthr,,C4H8NO7P,-2.0,database
m136,4-Hydroxy-L-threonine,4hthr,,C4H9NO4,0.0,database
m137,3-hydroxybenzoyl-CoA,3hbzcoa,,C28H36N7O18P3S,-4.0,database
m138,4-Hydroxybenzoate,4hbz,,C7H5O3,-1.0,database
m139,1D-myo-Inositol 4-phosphate,mi4p__D,,C6H11O9P,0.0,database
m140,Myo-Inositol hexakisphosphate,minohp,,C6H10O24P6,-12.0,database
m141,ATP C10H12N5O13P3,atp,,C10H12N5O13P3,-4.0,database
m142,"1D-myo-Inositol 3,4,5,6-tetrakisphosphate",mi3456p,,C6H8O18P4,-8.0,database
m143,ADP C10H12N5O10P2,adp,,C10H12N5O10P2,-3.0,database
m144,5-Methylthioadenosine,5mta,,C11H15N5O3S,0.0,database
m145,Adenine,ade,,C5H5N5,0.0,database
m146,5-Methylthio-5-deoxy-D-ribose 1-phosphate,5mdr1p,,C6H11O7PS,-2.0,database
m147,Cytidine,cytd,,C9H13N3O5,0.0,database
m148,Inosine,ins,,C10H12N4O5,0.0,database
m149,UMP C9H11N2O9P,ump,,C9H11N2O9P,-2.0,database
m150,Uridine,uri,,C9H12N2O6,0.0,database
m151,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,fgam,,C8H12N2O9P,-2.0,database
m152,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,fgam,,C8H12N2O9P,-2.0,database
m153,"5,10-Methylenetetrahydrofolate",mlthf,,C20H21N7O6,-2.0,database
m154,5-Methyltetrahydrofolate,5mthf,,C20H24N7O6,-1.0,database
m155,Glycine,gly,,C2H5NO2,0.0,database
m156,Succinyl-CoA,succoa,C00091,C25H35N7O19P3S,-5.0,database
m157,5-Aminopentanoate,5aptn,C00430,C5H11NO2,0.0,database
